society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
ILD Greens,78.0,5714.0,2.0,2.0,3.0,1.0,North,Moderately Old,2, Sector 37C Gurgaon,19.0,0,0,0,0,900.0,1068.1,1365.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0.013650683
Ramprastha The Atrium,90.0,6225.0,3.0,3.0,2.0,13.0,South-East,Relatively New,3, Sector 37D Gurgaon,13.0,0,0,0,0,975.0,1185.0,1285.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,3,0,0,0,3,1,0,1,4,1,0,0,0,0,0,0,0,2,0.014457831
Ramprastha The Edge Towers,71.0,5420.0,2.0,2.0,3.0,10.0,South-East,New Property,2, Sector 37D Gurgaon,22.0,0,0,0,0,1000.0,1100.0,1310.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,27,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013099631
Unitech The Residences,110.0,9909.0,2.0,2.0,3.0,9.0,East,Moderately Old,2, Sector 33 Gurgaon,14.0,0,0,0,0,1000.0,1100.0,1110.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,28,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3,3,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0.011101019
Pivotal Devaan,41.0,7032.0,2.0,2.0,2.0,10.0,East,New Property,2, Sector 84 Gurgaon,14.0,0,0,0,0,483.0,565.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0.005830489
Umang Monsoon Breeze,125.0,5000.0,4.0,4.0,3.0,2.0,East,Relatively New,4, Sector 78 Gurgaon,14.0,1,0,1,0,2000.0,2300.0,2350.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,24,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.025
Ramprastha The Edge Towers,80.0,5797.0,2.0,2.0,3.0,2.0,North-East,Relatively New,2, Sector 37D Gurgaon,17.0,0,0,0,0,1200.0,1300.0,1380.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,28,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.013800242
SS The Leaf,193.0,8075.0,3.0,4.0,3.0,7.0,North-East,Relatively New,3, Sector 85 Gurgaon,26.0,1,0,0,0,2390.0,2400.0,2408.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023900929
Experion The Heartsong,87.0,11845.0,2.0,3.0,3.0,2.0,South-West,Relatively New,2, Sector 108 Gurgaon,14.0,1,0,0,0,734.43,978.23,1283.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0.007344871
Sobha City,410.0,23401.0,4.0,5.0,3.0,25.0,North-East,New Property,4, Sector 108 Gurgaon,25.0,1,1,0,0,1752.0,2343.0,2344.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0.017520619
