society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
maa bhagwati residency,45,5000,2,2,1,4,West,Relatively New,2, Krishna Colony,4,0,0,0,0,900,,,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,13,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009
Apna Enclave,50,7692,2,2,1,1,West,Old Property,2, Ashok Vihar,3,0,0,0,0,650,,,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,20,1,0,1,1,1,1,1,0,0,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.00650026
Tulsiani Easy in Homes,40,6722,2,2,3,12,,New Property,2, Sohna,14,0,0,0,0,595,,,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00595061
Smart World Orchard,147,12250,2,2,2,2,,Under Construction,2, Sector 61 Gurgaon,4,0,1,0,0,1200,,,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,29,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012
Parkwood Westend,70,5204,2,2,3,5,,Under Construction,2, Sector 92 Gurgaon,8,0,1,0,0,,,1345,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013451191
Signature Global Infinity Mall,41,6269,2,2,3,3,,Undefined,2, Sector 36 Gurgaon,3,0,0,0,0,,654,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006540118
The Cocoon,200,13333,3,3,3,5,,New Property,3, Dwarka Expressway Gurgaon,25,0,0,0,0,,,1500,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015000375
ATS Triumph,180,7860,3,4,3,14,,New Property,3, Sector 104 Gurgaon,27,0,0,0,0,2290,,,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,24,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022900763
Vatika XpreSS The Leafions,110,8148,2,4,3,2,North-East,Under Construction,2, Sector 88B Gurgaon,3,0,1,0,0,1050,1350,,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013500245
Raheja Revanta,475,16885,3,3,2,31,,Under Construction,3, Sector 78 Gurgaon,40,1,0,0,0,,2813,,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,37,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028131478
